Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Maurice Jones-Drew,JAX,24,RB,16,16,312,1391,15,69,80,4.5,86.9,2,2009
Cedric Benson,CIN,27,RB,13,13,301,1251,6,57,42,4.2,96.2,1,2009
Ryan Grant,GNB,27,RB,16,16,282,1253,11,64,62,4.4,78.3,1,2009
Matt Forte,CHI,24,RB,16,16,258,929,4,41,61,3.6,58.1,6,2009
Ray Rice,BAL,22,RB,16,15,254,1339,7,53,59,5.3,83.7,3,2009
Knowshon Moreno,DEN,22,RB,16,9,247,947,7,53,36,3.8,59.2,4,2009
Rashard Mendenhall,PIT,22,RB,16,12,242,1108,7,50,60,4.6,69.3,3,2009
Ricky Williams,MIA,32,RB,16,7,241,1121,11,55,68,4.7,70.1,5,2009
Fred Jackson,BUF,28,RB,16,11,237,1062,2,44,43,4.5,66.4,4,2009
Frank Gore,SFO,26,RB,14,14,229,1120,10,47,80,4.9,80,4,2009
Brandon Jacobs,NYG,27,RB,15,15,224,835,5,44,31,3.7,55.7,2,2009
LaDainian Tomlinson,SDG,30,RB,14,14,223,730,12,40,36,3.3,52.1,2,2009
